======================================================================
PHASE 6: COMPREHENSIVE SCENARIO GENERATOR (S1-S6)
Per experiment-design.md §2.4 (revised 2026-06-16)
======================================================================

--- S1: N=20, Sentinel-1, 693km, bilateral ---
  [S1] S1-A_seed00.pkl: 20/20 visible, 28 windows, 1.4s
  [S1] S1-A_seed01.pkl: 19/20 visible, 29 windows, 1.3s
  [S1] S1-A_seed02.pkl: 20/20 visible, 28 windows, 1.3s
  [S1] S1-A_seed03.pkl: 20/20 visible, 32 windows, 1.4s
  [S1] S1-A_seed04.pkl: 20/20 visible, 37 windows, 1.5s
  [S1] S1-A_seed05.pkl: 20/20 visible, 33 windows, 1.9s
  [S1] S1-A_seed06.pkl: 20/20 visible, 37 windows, 1.8s
  [S1] S1-A_seed07.pkl: 20/20 visible, 36 windows, 1.7s
  [S1] S1-A_seed08.pkl: 20/20 visible, 36 windows, 1.5s
  [S1] S1-A_seed09.pkl: 20/20 visible, 40 windows, 1.3s
  [S1] S1-B_seed00.pkl: 20/20 visible, 35 windows, 1.3s
  [S1] S1-B_seed01.pkl: 20/20 visible, 31 windows, 1.5s
  [S1] S1-B_seed02.pkl: 20/20 visible, 38 windows, 1.3s
  [S1] S1-B_seed03.pkl: 20/20 visible, 28 windows, 1.3s
  [S1] S1-B_seed04.pkl: 19/20 visible, 26 windows, 1.3s
  [S1] S1-B_seed05.pkl: 20/20 visible, 39 windows, 1.3s
  [S1] S1-B_seed06.pkl: 20/20 visible, 31 windows, 1.3s
  [S1] S1-B_seed07.pkl: 20/20 visible, 40 windows, 1.3s
  [S1] S1-B_seed08.pkl: 20/20 visible, 30 windows, 1.3s
  [S1] S1-B_seed09.pkl: 20/20 visible, 32 windows, 1.3s
  [S1] S1-C_seed00.pkl: 20/20 visible, 44 windows, 1.3s
  [S1] S1-C_seed01.pkl: 20/20 visible, 33 windows, 1.3s
  [S1] S1-C_seed02.pkl: 20/20 visible, 27 windows, 1.3s
  [S1] S1-C_seed03.pkl: 20/20 visible, 40 windows, 1.3s
  [S1] S1-C_seed04.pkl: 20/20 visible, 35 windows, 1.3s
  [S1] S1-C_seed05.pkl: 20/20 visible, 31 windows, 1.3s
  [S1] S1-C_seed06.pkl: 20/20 visible, 27 windows, 1.7s
  [S1] S1-C_seed07.pkl: 20/20 visible, 35 windows, 1.3s
  [S1] S1-C_seed08.pkl: 20/20 visible, 43 windows, 1.3s
  [S1] S1-C_seed09.pkl: 20/20 visible, 35 windows, 1.3s
  [S1] S1-D_seed00.pkl: 20/20 visible, 26 windows, 0.8s
  [S1] S1-D_seed01.pkl: 20/20 visible, 31 windows, 0.7s
  [S1] S1-D_seed02.pkl: 20/20 visible, 25 windows, 0.6s
  [S1] S1-D_seed03.pkl: 20/20 visible, 29 windows, 0.6s
  [S1] S1-D_seed04.pkl: 20/20 visible, 29 windows, 0.6s
  [S1] S1-D_seed05.pkl: 20/20 visible, 25 windows, 0.7s
  [S1] S1-D_seed06.pkl: 20/20 visible, 26 windows, 0.8s
  [S1] S1-D_seed07.pkl: 20/20 visible, 30 windows, 0.7s
  [S1] S1-D_seed08.pkl: 20/20 visible, 29 windows, 0.7s
  [S1] S1-D_seed09.pkl: 19/20 visible, 23 windows, 0.8s
  [S1] S1-E_seed00.pkl: 20/20 visible, 36 windows, 1.6s
  [S1] S1-E_seed01.pkl: 20/20 visible, 38 windows, 1.3s
  [S1] S1-E_seed02.pkl: 20/20 visible, 30 windows, 1.4s
  [S1] S1-E_seed03.pkl: 20/20 visible, 34 windows, 1.3s
  [S1] S1-E_seed04.pkl: 20/20 visible, 33 windows, 1.6s
  [S1] S1-E_seed05.pkl: 19/20 visible, 31 windows, 1.4s
  [S1] S1-E_seed06.pkl: 20/20 visible, 33 windows, 1.3s
  [S1] S1-E_seed07.pkl: 20/20 visible, 31 windows, 1.3s
  [S1] S1-E_seed08.pkl: 20/20 visible, 40 windows, 1.3s
  [S1] S1-E_seed09.pkl: 20/20 visible, 33 windows, 1.3s
  [S1] Generated 50 new scenarios


--- S2: N=100, Sentinel-1, 693km, bilateral ---
  [NOTE] S2-A/B/C: self-built fallback (EOS-Bench not available)
  [S2] S2-A_seed00.pkl: 100/100 visible, 155 windows, 8.3s
  [S2] S2-A_seed01.pkl: 99/100 visible, 155 windows, 7.1s
  [S2] S2-A_seed02.pkl: 100/100 visible, 160 windows, 7.2s
  [S2] S2-A_seed03.pkl: 100/100 visible, 176 windows, 10.0s
  [S2] S2-A_seed04.pkl: 100/100 visible, 182 windows, 7.8s
  [S2] S2-A_seed05.pkl: 100/100 visible, 169 windows, 7.6s
  [S2] S2-A_seed06.pkl: 100/100 visible, 176 windows, 7.1s
  [S2] S2-A_seed07.pkl: 99/100 visible, 164 windows, 6.6s
  [S2] S2-A_seed08.pkl: 99/100 visible, 168 windows, 7.1s
  [S2] S2-A_seed09.pkl: 100/100 visible, 177 windows, 6.7s
  [S2] S2-B_seed00.pkl: 99/100 visible, 170 windows, 6.5s
  [S2] S2-B_seed01.pkl: 98/100 visible, 168 windows, 6.5s
  [S2] S2-B_seed02.pkl: 100/100 visible, 211 windows, 9.2s
  [S2] S2-B_seed03.pkl: 99/100 visible, 147 windows, 6.8s
  [S2] S2-B_seed04.pkl: 100/100 visible, 186 windows, 6.5s
  [S2] S2-B_seed05.pkl: 100/100 visible, 230 windows, 6.5s
  [S2] S2-B_seed06.pkl: 100/100 visible, 153 windows, 7.2s
  [S2] S2-B_seed07.pkl: 100/100 visible, 195 windows, 8.9s
  [S2] S2-B_seed08.pkl: 100/100 visible, 148 windows, 6.5s
  [S2] S2-B_seed09.pkl: 99/100 visible, 154 windows, 6.0s
  [S2] S2-C_seed00.pkl: 100/100 visible, 210 windows, 7.2s
  [S2] S2-C_seed01.pkl: 100/100 visible, 252 windows, 6.3s
  [S2] S2-C_seed02.pkl: 99/100 visible, 203 windows, 6.1s
  [S2] S2-C_seed03.pkl: 100/100 visible, 145 windows, 6.1s
  [S2] S2-C_seed04.pkl: 100/100 visible, 175 windows, 6.4s
  [S2] S2-C_seed05.pkl: 100/100 visible, 152 windows, 6.1s
  [S2] S2-C_seed06.pkl: 99/100 visible, 155 windows, 7.5s
  [S2] S2-C_seed07.pkl: 100/100 visible, 171 windows, 9.0s
  [S2] S2-C_seed08.pkl: 99/100 visible, 215 windows, 7.6s
  [S2] S2-C_seed09.pkl: 100/100 visible, 165 windows, 8.1s
  [S2] S2-D_seed00.pkl: 100/100 visible, 215 windows, 8.5s
  [S2] S2-D_seed01.pkl: 100/100 visible, 147 windows, 14.4s
  [S2] S2-D_seed02.pkl: 100/100 visible, 156 windows, 17.7s
  [S2] S2-D_seed03.pkl: 100/100 visible, 167 windows, 10.5s
  [S2] S2-D_seed04.pkl: 99/100 visible, 161 windows, 8.5s
  [S2] S2-D_seed05.pkl: 100/100 visible, 208 windows, 13.3s
  [S2] S2-D_seed06.pkl: 100/100 visible, 149 windows, 10.0s
  [S2] S2-D_seed07.pkl: 100/100 visible, 186 windows, 7.4s
  [S2] S2-D_seed08.pkl: 100/100 visible, 173 windows, 7.2s
  [S2] S2-D_seed09.pkl: 99/100 visible, 182 windows, 7.1s
  [S2] S2-E_seed00.pkl: 54/100 visible, 70 windows, 10.8s
  [S2] S2-E_seed01.pkl: 48/100 visible, 66 windows, 14.3s
  [S2] S2-E_seed02.pkl: 49/100 visible, 63 windows, 10.5s
  [S2] S2-E_seed03.pkl: 37/100 visible, 55 windows, 10.3s
  [S2] S2-E_seed04.pkl: 40/100 visible, 58 windows, 8.6s
  [S2] S2-E_seed05.pkl: 50/100 visible, 68 windows, 8.3s
  [S2] S2-E_seed06.pkl: 54/100 visible, 70 windows, 9.1s
  [S2] S2-E_seed07.pkl: 44/100 visible, 59 windows, 10.2s
  [S2] S2-E_seed08.pkl: 45/100 visible, 58 windows, 8.4s
  [S2] S2-E_seed09.pkl: 48/100 visible, 65 windows, 9.7s
  [S2] Generated 50 new scenarios


--- S3: N=300, Sentinel-1, 693km, bilateral ---
  [S3] S3-A_seed00.pkl: 298/300 visible, 486 windows, 26.6s
  [S3] S3-A_seed01.pkl: 299/300 visible, 469 windows, 20.3s
  [S3] S3-A_seed02.pkl: 300/300 visible, 510 windows, 22.2s
  [S3] S3-A_seed03.pkl: 300/300 visible, 514 windows, 25.6s
  [S3] S3-A_seed04.pkl: 298/300 visible, 502 windows, 24.4s
  [S3] S3-A_seed05.pkl: 300/300 visible, 520 windows, 24.4s
  [S3] S3-A_seed06.pkl: 300/300 visible, 512 windows, 21.4s
  [S3] S3-A_seed07.pkl: 299/300 visible, 496 windows, 23.9s
  [S3] S3-A_seed08.pkl: 299/300 visible, 526 windows, 21.5s
  [S3] S3-A_seed09.pkl: 299/300 visible, 512 windows, 25.1s
  [S3] S3-B_seed00.pkl: 300/300 visible, 482 windows, 22.8s
  [S3] S3-B_seed01.pkl: 298/300 visible, 490 windows, 22.0s
  [S3] S3-B_seed02.pkl: 299/300 visible, 535 windows, 28.1s
  [S3] S3-B_seed03.pkl: 299/300 visible, 479 windows, 26.3s
  [S3] S3-B_seed04.pkl: 299/300 visible, 514 windows, 36.0s
  [S3] S3-B_seed05.pkl: 299/300 visible, 589 windows, 35.2s
  [S3] S3-B_seed06.pkl: 298/300 visible, 502 windows, 32.2s
  [S3] S3-B_seed07.pkl: 300/300 visible, 544 windows, 33.1s
  [S3] S3-B_seed08.pkl: 300/300 visible, 479 windows, 31.8s
  [S3] S3-B_seed09.pkl: 298/300 visible, 477 windows, 31.1s
  [S3] S3-C_seed00.pkl: 297/300 visible, 452 windows, 24.2s
  [S3] S3-C_seed01.pkl: 299/300 visible, 529 windows, 24.0s
  [S3] S3-C_seed02.pkl: 299/300 visible, 465 windows, 28.9s
  [S3] S3-C_seed03.pkl: 297/300 visible, 447 windows, 27.6s
  [S3] S3-C_seed04.pkl: 300/300 visible, 464 windows, 29.5s
  [S3] S3-C_seed05.pkl: 298/300 visible, 457 windows, 36.3s
  [S3] S3-C_seed06.pkl: 299/300 visible, 518 windows, 36.9s
  [S3] S3-C_seed07.pkl: 299/300 visible, 504 windows, 39.2s
  [S3] S3-C_seed08.pkl: 300/300 visible, 462 windows, 33.4s
  [S3] S3-C_seed09.pkl: 297/300 visible, 433 windows, 27.1s
  [S3] S3-D_seed00.pkl: 300/300 visible, 441 windows, 13.7s
  [S3] S3-D_seed01.pkl: 299/300 visible, 423 windows, 14.9s
  [S3] S3-D_seed02.pkl: 299/300 visible, 430 windows, 10.6s
  [S3] S3-D_seed03.pkl: 300/300 visible, 417 windows, 10.7s
  [S3] S3-D_seed04.pkl: 300/300 visible, 425 windows, 9.7s
  [S3] S3-D_seed05.pkl: 300/300 visible, 416 windows, 10.5s
  [S3] S3-D_seed06.pkl: 300/300 visible, 412 windows, 13.0s
  [S3] S3-D_seed07.pkl: 300/300 visible, 443 windows, 11.2s
  [S3] S3-D_seed08.pkl: 298/300 visible, 426 windows, 9.6s
  [S3] S3-D_seed09.pkl: 298/300 visible, 435 windows, 9.6s
