Resuming, 17 valid existing

=== S7: 50 scenarios ===
  S7-B_seed07.pkl: b1_f1=329 f3=0.45 | b3_f1=229 f3=0.21 (0.0s/0.0s)
  S7-B_seed08.pkl: b1_f1=331 f3=0.49 | b3_f1=186 f3=0.19 (0.0s/0.0s)
  S7-B_seed09.pkl: b1_f1=361 f3=0.45 | b3_f1=214 f3=0.18 (0.0s/0.0s)
  S7-C_seed00.pkl: b1_f1=358 f3=0.33 | b3_f1=273 f3=0.20 (0.0s/0.0s)
  S7-C_seed01.pkl: b1_f1=418 f3=0.37 | b3_f1=275 f3=0.31 (0.0s/0.0s)
  S7-C_seed02.pkl: b1_f1=369 f3=0.36 | b3_f1=277 f3=0.23 (0.0s/0.0s)
  S7-C_seed03.pkl: b1_f1=410 f3=0.38 | b3_f1=296 f3=0.21 (0.0s/0.0s)
  S7-C_seed04.pkl: b1_f1=473 f3=0.37 | b3_f1=321 f3=0.20 (0.0s/0.0s)
  S7-C_seed05.pkl: b1_f1=417 f3=0.36 | b3_f1=270 f3=0.21 (0.0s/0.0s)
  S7-C_seed06.pkl: b1_f1=383 f3=0.32 | b3_f1=269 f3=0.20 (0.0s/0.0s)
  S7-C_seed07.pkl: b1_f1=493 f3=0.36 | b3_f1=331 f3=0.28 (0.0s/0.0s)
  S7-C_seed08.pkl: b1_f1=422 f3=0.40 | b3_f1=286 f3=0.21 (0.0s/0.0s)
  S7-C_seed09.pkl: b1_f1=393 f3=0.37 | b3_f1=261 f3=0.21 (0.0s/0.0s)
  S7-D_seed00.pkl: b1_f1=337 f3=0.49 | b3_f1=202 f3=0.22 (0.0s/0.0s)
  S7-D_seed01.pkl: b1_f1=385 f3=0.47 | b3_f1=233 f3=0.28 (0.0s/0.0s)
  S7-D_seed02.pkl: b1_f1=339 f3=0.49 | b3_f1=208 f3=0.23 (0.0s/0.0s)
  S7-D_seed03.pkl: b1_f1=363 f3=0.47 | b3_f1=176 f3=0.18 (0.0s/0.0s)
  S7-D_seed04.pkl: b1_f1=378 f3=0.46 | b3_f1=196 f3=0.17 (0.0s/0.0s)
  S7-D_seed05.pkl: b1_f1=269 f3=0.45 | b3_f1=181 f3=0.22 (0.0s/0.0s)
  S7-D_seed06.pkl: b1_f1=436 f3=0.43 | b3_f1=206 f3=0.21 (0.0s/0.0s)
  S7-D_seed07.pkl: b1_f1=426 f3=0.43 | b3_f1=227 f3=0.19 (0.0s/0.0s)
  S7-D_seed08.pkl: b1_f1=344 f3=0.45 | b3_f1=197 f3=0.18 (0.0s/0.0s)
  S7-D_seed09.pkl: b1_f1=426 f3=0.50 | b3_f1=205 f3=0.22 (0.0s/0.0s)
  S7-E_seed00.pkl: b1_f1=646 f3=0.41 | b3_f1=364 f3=0.21 (0.0s/0.0s)
  S7-E_seed01.pkl: b1_f1=668 f3=0.40 | b3_f1=382 f3=0.20 (0.0s/0.0s)
  S7-E_seed02.pkl: b1_f1=718 f3=0.44 | b3_f1=377 f3=0.20 (0.0s/0.0s)
  S7-E_seed03.pkl: b1_f1=613 f3=0.37 | b3_f1=390 f3=0.21 (0.0s/0.0s)
  S7-E_seed04.pkl: b1_f1=700 f3=0.39 | b3_f1=412 f3=0.22 (0.0s/0.0s)
  S7-E_seed05.pkl: b1_f1=674 f3=0.40 | b3_f1=409 f3=0.21 (0.0s/0.0s)
  S7-E_seed06.pkl: b1_f1=651 f3=0.41 | b3_f1=394 f3=0.21 (0.0s/0.0s)
  S7-E_seed07.pkl: b1_f1=697 f3=0.44 | b3_f1=438 f3=0.20 (0.0s/0.0s)
  S7-E_seed08.pkl: b1_f1=653 f3=0.42 | b3_f1=398 f3=0.22 (0.0s/0.0s)
  S7-E_seed09.pkl: b1_f1=612 f3=0.40 | b3_f1=386 f3=0.33 (0.0s/0.0s)

=== S8: 50 scenarios ===
  S8-A_seed00.pkl: b1_f1=790 f3=0.42 | b3_f1=455 f3=0.27 (0.0s/0.1s)
  S8-A_seed01.pkl: b1_f1=882 f3=0.44 | b3_f1=499 f3=0.24 (0.0s/0.0s)
  S8-A_seed02.pkl: b1_f1=822 f3=0.45 | b3_f1=462 f3=0.21 (0.0s/0.0s)
  S8-A_seed03.pkl: b1_f1=841 f3=0.45 | b3_f1=483 f3=0.22 (0.0s/0.0s)
  S8-A_seed04.pkl: b1_f1=809 f3=0.44 | b3_f1=432 f3=0.28 (0.0s/0.0s)
  S8-A_seed05.pkl: b1_f1=773 f3=0.42 | b3_f1=460 f3=0.21 (0.0s/0.0s)
  S8-A_seed06.pkl: b1_f1=781 f3=0.43 | b3_f1=442 f3=0.21 (0.0s/0.0s)
  S8-A_seed07.pkl: b1_f1=811 f3=0.46 | b3_f1=455 f3=0.28 (0.0s/0.0s)
  S8-A_seed08.pkl: b1_f1=791 f3=0.44 | b3_f1=468 f3=0.27 (0.0s/0.0s)
  S8-A_seed09.pkl: b1_f1=778 f3=0.43 | b3_f1=451 f3=0.20 (0.0s/0.0s)
  S8-B_seed00.pkl: b1_f1=367 f3=0.47 | b3_f1=212 f3=0.18 (0.0s/0.0s)
  S8-B_seed01.pkl: b1_f1=422 f3=0.47 | b3_f1=210 f3=0.17 (0.0s/0.0s)
  S8-B_seed02.pkl: b1_f1=405 f3=0.45 | b3_f1=228 f3=0.20 (0.0s/0.0s)
  S8-B_seed03.pkl: b1_f1=311 f3=0.49 | b3_f1=206 f3=0.18 (0.0s/0.0s)
  S8-B_seed04.pkl: b1_f1=337 f3=0.46 | b3_f1=220 f3=0.31 (0.0s/0.0s)
  S8-B_seed05.pkl: b1_f1=390 f3=0.48 | b3_f1=203 f3=0.33 (0.0s/0.0s)
  S8-B_seed06.pkl: b1_f1=413 f3=0.46 | b3_f1=273 f3=0.28 (0.0s/0.0s)
  S8-B_seed07.pkl: b1_f1=382 f3=0.48 | b3_f1=247 f3=0.32 (0.0s/0.0s)
  S8-B_seed08.pkl: b1_f1=352 f3=0.48 | b3_f1=191 f3=0.18 (0.0s/0.0s)
  S8-B_seed09.pkl: b1_f1=317 f3=0.45 | b3_f1=241 f3=0.27 (0.0s/0.0s)
  S8-C_seed00.pkl: b1_f1=504 f3=0.37 | b3_f1=315 f3=0.20 (0.1s/0.0s)
  S8-C_seed01.pkl: b1_f1=545 f3=0.41 | b3_f1=332 f3=0.32 (0.0s/0.0s)
  S8-C_seed02.pkl: b1_f1=484 f3=0.38 | b3_f1=320 f3=0.21 (0.0s/0.0s)
  S8-C_seed03.pkl: b1_f1=525 f3=0.39 | b3_f1=395 f3=0.25 (0.0s/0.0s)
  S8-C_seed04.pkl: b1_f1=594 f3=0.38 | b3_f1=400 f3=0.23 (0.0s/0.0s)
  S8-C_seed05.pkl: b1_f1=519 f3=0.38 | b3_f1=341 f3=0.20 (0.0s/0.0s)
  S8-C_seed06.pkl: b1_f1=467 f3=0.34 | b3_f1=311 f3=0.19 (0.1s/0.0s)
  S8-C_seed07.pkl: b1_f1=512 f3=0.35 | b3_f1=359 f3=0.31 (0.0s/0.0s)
  S8-C_seed08.pkl: b1_f1=569 f3=0.41 | b3_f1=341 f3=0.28 (0.0s/0.0s)
  S8-C_seed09.pkl: b1_f1=500 f3=0.40 | b3_f1=325 f3=0.20 (0.1s/0.0s)
  S8-D_seed00.pkl: b1_f1=468 f3=0.45 | b3_f1=260 f3=0.20 (0.0s/0.0s)
