class,variant,n_scenarios,f1_raw_mean,f1_raw_std,f1_per_task_mean,f1_per_task_std,f2_mean,f2_std,f3_mean,f3_std,n_selected_mean,n_selected_std,f1_raw_deg_pct_vs_A,f1_raw_pvalue_vs_A,f1_per_task_deg_pct_vs_A,f1_per_task_pvalue_vs_A,f2_deg_pct_vs_A,f2_pvalue_vs_A,f3_deg_pct_vs_A,f3_pvalue_vs_A,n_selected_deg_pct_vs_A,n_selected_pvalue_vs_A
S1,A,50,93.480000,17.431282,5.993526,0.722178,0.376188,0.049323,0.698497,0.038680,15.640000,2.527924,,,,,,,,,,
S1,B,50,94.260000,21.308975,6.011796,0.816931,0.352957,0.048433,0.573911,0.037123,15.720000,3.092184,-0.8344,4.6309e-01,-0.3048,6.0807e-01,6.1755,1.1034e-05,17.8363,8.8818e-15,-0.5115,6.5515e-01
S1,C,50,93.420000,17.291721,5.857807,0.790309,0.374660,0.046173,0.703075,0.035779,15.960000,2.135041,0.0642,8.3339e-01,2.2644,1.0880e-02,0.4063,6.6665e-01,-0.6554,1.8768e-01,-2.0460,3.6535e-01
S1,D,50,110.340000,13.868828,5.649439,0.654337,0.301538,0.039369,0.524783,0.033257,19.520000,0.727736,-18.0359,3.4410e-09,5.7410,3.8783e-07,19.8438,1.7764e-15,24.8696,1.7764e-15,-24.8082,3.2530e-09
S2,A,50,347.980000,105.671281,5.579614,0.413581,0.328874,0.029312,0.596523,0.041737,62.680000,19.153527,,,,,,,,,,
S2,B,50,352.200000,104.891563,5.549296,0.361672,0.320816,0.026957,0.569853,0.054751,63.620000,18.866786,-1.2127,5.2853e-04,0.5434,5.2956e-02,2.4504,2.4336e-13,4.4709,1.7764e-15,-1.4997,7.2883e-05
S2,C,50,348.060000,105.349402,5.566891,0.390875,0.328168,0.028097,0.598726,0.041119,62.780000,19.104230,-0.0230,9.8272e-01,0.2280,1.1199e-01,0.2148,4.1519e-01,-0.3693,4.8310e-02,-0.1595,5.6704e-01
S2,D,50,355.100000,103.474296,5.540391,0.369224,0.317479,0.026191,0.562155,0.058542,64.220000,18.579871,-2.0461,1.6966e-06,0.7030,2.4147e-03,3.4650,1.7764e-15,5.7614,1.7764e-15,-2.4569,1.3850e-06
S3,A,50,874.480000,254.115426,5.625883,0.292968,0.343568,0.025998,0.622708,0.039463,154.200000,39.540359,,,,,,,,,,
S3,B,50,874.480000,254.111412,5.626910,0.290851,0.342603,0.026010,0.617985,0.040861,154.180000,39.588226,0.0000,9.3733e-01,-0.0183,3.8819e-01,0.2807,1.6058e-12,0.7584,1.7764e-15,0.0130,7.6302e-01
S3,C,50,874.340000,253.718869,5.626968,0.292453,0.343519,0.025961,0.622562,0.039593,154.160000,39.515243,0.0160,5.7352e-01,-0.0193,5.7540e-01,0.0142,3.0905e-01,0.0235,8.2582e-01,0.0259,5.1641e-01
S3,D,50,876.060000,253.634021,5.625682,0.289038,0.341990,0.026168,0.616450,0.041675,154.500000,39.506582,-0.1807,1.3678e-03,0.0036,7.0070e-01,0.4594,1.7764e-15,1.0049,1.7764e-15,-0.1946,6.2902e-04
S4,A,50,847.880000,446.411856,5.833802,0.438087,0.337853,0.037522,0.680362,0.072333,142.340000,71.332352,,,,,,,,,,
