solver,group,n_scenarios,hv_mean,hv_std,f1_mean,f1_std
G-BL,S1,50,0.019733,0.003016,1.00,0.00
G-SM,S1,50,0.080618,0.029518,0.51,0.16
GA-P-BL,S1,50,0.019733,0.003016,1.00,0.00
MOEA-2,S1,50,0.100516,0.038230,0.87,0.08
MOEA-3,S1,50,0.165445,0.055548,0.98,0.03
G-BL,S2,50,0.019608,0.001794,1.00,0.00
G-SM,S2,50,0.109050,0.016544,0.35,0.09
GA-P-BL,S2,50,0.019608,0.001794,1.00,0.00
MOEA-2,S2,50,0.028586,0.012531,0.98,0.03
MOEA-3,S2,50,0.032593,0.016778,1.00,0.00
G-BL,S3,50,0.018762,0.001566,1.00,0.00
G-SM,S3,50,0.123906,0.015463,0.29,0.04
GA-P-BL,S3,50,0.018762,0.001566,1.00,0.00
MOEA-2,S3,50,0.019615,0.002105,1.00,0.00
MOEA-3,S3,50,0.020453,0.002130,1.00,0.00
G-BL,S4,50,0.016463,0.004871,1.00,0.00
G-SM,S4,50,0.095483,0.049179,0.37,0.12
GA-P-BL,S4,50,0.016463,0.004871,1.00,0.00
MOEA-2,S4,50,0.018050,0.006097,1.00,0.01
MOEA-3,S4,50,0.018711,0.006570,1.00,0.00
